anio,metodo,centroides_mojados,prof_media_m,prof_max_m,frac_media,area_equivalente
2000,isimip2a,8034,2.4194891452789307,10.305755615234375,0.18844695389270782,1782.33251953125
2001,isimip2a,7961,1.6709463596343994,7.735113620758057,0.17232267558574677,1626.7264404296875
2002,isimip2a,7935,1.7601430416107178,11.687191009521484,0.17552009224891663,1649.5372314453125
2003,isimip2a,8374,1.9817417860031128,8.976531028747559,0.17773890495300293,1761.3948974609375
2004,isimip2a,8527,1.962478518486023,9.48990249633789,0.1732780784368515,1752.879150390625
2005,isimip2a,9032,2.464540719985962,13.714775085449219,0.18333157896995544,1948.8153076171875
2000,glofas,7913,0.6558921933174133,30.0,0.4398837089538574,3480.79248046875
2001,glofas,7893,0.6251062154769897,30.0,0.43896615505218506,3464.753173828125
2002,glofas,7926,0.6971114277839661,30.0,0.4402775466442108,3489.63427734375
2003,glofas,7967,0.9297009706497192,30.0,0.44449353218078613,3541.2744140625
2004,glofas,7891,0.5632285475730896,30.0,0.43868201971054077,3461.63232421875
2005,glofas,7958,1.0576220750808716,29.371322631835938,0.4406936466693878,3507.0322265625
